Km	Vd	kabs	kcat	F[0]	scanIteration	fitterIteration	
5.419507e+00	5.225181e+00	2.041713e+00	7.684637e-01	2.817217e-02	124	18	
5.528412e+00	5.275000e+00	2.056935e+00	6.993831e-01	2.209208e-02	125	7	
5.528412e+00	5.275000e+00	1.909689e+00	6.553642e-01	2.482126e-02	126	13	
5.473689e+00	5.225181e+00	1.945482e+00	7.031044e-01	2.112705e-02	127	13	
5.312747e+00	5.175833e+00	3.060552e+00	7.200969e-01	7.374456e-03	128	16	
5.130953e+00	5.078531e+00	2.022845e+00	8.168217e-01	1.098795e-02	129	43	
5.528412e+00	5.275000e+00	2.034145e+00	6.756701e-01	2.860722e-02	130	11	
5.528412e+00	5.275000e+00	2.118964e+00	7.453691e-01	1.457137e-02	131	4	
5.528412e+00	5.275000e+00	2.056935e+00	6.966051e-01	2.111889e-02	132	8	
5.105496e+00	4.889379e+00	1.676917e+00	7.839095e-01	8.764668e-03	133	22	
5.419507e+00	5.225181e+00	2.004150e+00	7.593427e-01	2.382470e-02	134	13	
5.639506e+00	5.376067e+00	9.852545e+01	6.323042e-01	1.087580e-02	135	16	
5.528412e+00	5.275000e+00	2.072270e+00	7.756335e-01	1.475427e-02	136	6	
5.473689e+00	5.225181e+00	2.087719e+00	7.715283e-01	7.753382e-03	137	9	
5.312747e+00	5.030568e+00	1.885027e+00	7.244088e-01	3.245457e-02	138	38	
5.528412e+00	5.275000e+00	2.541881e+00	6.956815e-01	1.263597e-02	139	9	
5.419507e+00	5.175833e+00	1.860683e+00	7.818323e-01	1.454016e-02	140	14	
5.312747e+00	5.030568e+00	1.963629e+00	7.433940e-01	1.631518e-02	141	44	
5.528412e+00	5.275000e+00	2.045508e+00	7.124946e-01	2.347240e-02	142	10	
5.260159e+00	5.030568e+00	1.963629e+00	7.833897e-01	8.849949e-03	143	44	
5.528412e+00	5.275000e+00	1.981945e+00	7.239284e-01	1.600225e-02	144	5	
5.312747e+00	5.175833e+00	2.618535e+00	7.375000e-01	4.904836e-03	145	17	
5.528412e+00	5.275000e+00	2.087719e+00	7.059084e-01	9.087614e-03	146	7	
5.528412e+00	5.275000e+00	2.049310e+00	7.483416e-01	1.602024e-02	147	7	
5.419507e+00	5.175833e+00	2.993109e+00	7.239284e-01	9.367752e-03	148	15	
5.419507e+00	5.175833e+00	2.504400e+00	7.654112e-01	9.052535e-03	149	12	
5.156538e+00	5.054492e+00	1.974598e+00	7.959612e-01	8.365722e-03	150	36	
5.054958e+00	4.752153e+00	1.819680e+00	7.912234e-01	8.331343e-03	151	45	
5.419507e+00	5.175833e+00	2.541881e+00	7.335966e-01	6.658847e-03	152	12	
5.528412e+00	5.275000e+00	2.019092e+00	7.297140e-01	2.957226e-02	153	7	
5.528412e+00	5.275000e+00	2.118964e+00	7.335966e-01	1.643167e-02	154	7	
5.528412e+00	5.275000e+00	2.079980e+00	7.996658e-01	2.041412e-02	155	6	
5.312747e+00	5.126951e+00	2.034145e+00	7.463587e-01	1.035936e-02	156	17	
5.312747e+00	5.175833e+00	2.618535e+00	7.297140e-01	5.742814e-03	157	14	
5.528412e+00	5.275000e+00	2.064588e+00	6.729862e-01	2.387663e-02	158	7	
5.419507e+00	5.175833e+00	2.064588e+00	7.268154e-01	1.003239e-02	159	15	
5.365862e+00	5.030568e+00	1.981945e+00	7.493351e-01	1.294925e-02	160	31	
5.528412e+00	5.275000e+00	2.072270e+00	7.818323e-01	1.964584e-02	161	5	
5.365862e+00	5.175833e+00	1.853786e+00	7.414241e-01	1.353598e-02	162	18	
5.528412e+00	5.275000e+00	3.577183e+00	7.394595e-01	1.197667e-02	163	9	
5.528412e+00	5.275000e+00	2.095487e+00	7.258518e-01	9.743559e-03	164	6	
5.105496e+00	5.078531e+00	2.883989e+00	7.901744e-01	1.912290e-03	165	15	
5.528412e+00	5.275000e+00	2.103284e+00	7.633830e-01	8.134088e-03	166	6	
5.528412e+00	5.275000e+00	2.064588e+00	7.355457e-01	1.956575e-02	167	3	
5.583682e+00	5.275000e+00	2.095487e+00	7.229686e-01	2.520714e-02	168	10	
5.473689e+00	5.225181e+00	2.034145e+00	7.443809e-01	2.212605e-02	169	9	
5.528412e+00	5.275000e+00	2.118964e+00	7.404411e-01	1.331068e-02	170	7	
4.397777e+00	4.752153e+00	1.689419e+00	8.233496e-01	9.270412e-03	171	34	
4.142966e+00	4.662816e+00	1.673806e+00	7.922738e-01	2.453644e-02	172	66	
5.419507e+00	5.175833e+00	1.740365e+00	7.839095e-01	1.607903e-02	173	12	
5.528412e+00	5.275000e+00	2.072270e+00	7.715283e-01	2.083649e-02	174	4	
4.857763e+00	4.889379e+00	1.853786e+00	8.443676e-01	1.327693e-02	175	35	
5.419507e+00	5.175833e+00	3.037904e+00	7.375000e-01	8.059726e-03	176	13	
4.906329e+00	4.707272e+00	1.580175e+00	7.776943e-01	2.142807e-02	177	45	
5.528412e+00	5.275000e+00	2.103284e+00	7.384791e-01	8.979967e-03	178	7	
5.528412e+00	5.275000e+00	2.103284e+00	6.738796e-01	1.597647e-02	179	6	
5.528412e+00	5.275000e+00	2.079980e+00	7.414241e-01	2.059351e-02	180	7	
5.130953e+00	4.983058e+00	1.931085e+00	7.782103e-01	9.676742e-03	181	44	
5.156538e+00	5.030568e+00	1.895557e+00	7.389691e-01	2.225788e-02	182	37	
5.528412e+00	5.275000e+00	2.034145e+00	7.483416e-01	1.642558e-02	183	10	
5.528412e+00	5.275000e+00	2.541881e+00	7.297140e-01	6.306612e-03	184	8	
5.208091e+00	5.126951e+00	2.458325e+00	7.553237e-01	2.893110e-03	185	21	
5.528412e+00	5.275000e+00	1.959986e+00	7.828702e-01	2.157615e-02	186	9	
5.365862e+00	5.126951e+00	1.766412e+00	6.947592e-01	2.549111e-02	187	16	
5.419507e+00	5.175833e+00	2.541881e+00	7.220101e-01	7.598734e-03	188	10	
5.054958e+00	4.959471e+00	1.878039e+00	6.851481e-01	1.987373e-02	189	46	
5.528412e+00	5.275000e+00	2.064588e+00	6.518956e-01	2.593625e-02	190	7	
5.312747e+00	5.054492e+00	1.952720e+00	6.865130e-01	1.459069e-02	191	36	
5.339238e+00	5.175833e+00	2.019092e+00	7.054403e-01	2.092215e-02	192	23	
5.528412e+00	5.275000e+00	2.142705e+00	7.523235e-01	1.045092e-02	193	8	
5.528412e+00	5.275000e+00	2.103284e+00	7.087236e-01	1.143333e-02	194	6	
4.906329e+00	4.707272e+00	1.621793e+00	8.310315e-01	1.457088e-02	195	37	
5.312747e+00	5.078531e+00	2.778847e+00	7.797605e-01	6.132734e-03	196	14	
5.528412e+00	5.275000e+00	2.638057e+00	6.792652e-01	7.045331e-03	197	6	
5.419507e+00	5.225181e+00	1.938270e+00	6.846938e-01	1.876660e-02	198	9	
5.528412e+00	5.275000e+00	2.026604e+00	7.210529e-01	2.707620e-02	199	7	
5.156538e+00	4.983058e+00	1.740365e+00	7.200969e-01	2.331190e-02	200	28	
5.286388e+00	5.102684e+00	1.853786e+00	7.049725e-01	2.195682e-02	201	36	
5.528412e+00	5.275000e+00	2.111109e+00	7.954334e-01	1.959899e-02	202	9	
5.105496e+00	5.078531e+00	2.504400e+00	7.513260e-01	7.129546e-03	203	12	
4.906329e+00	4.531948e+00	1.556875e+00	8.071267e-01	1.312396e-02	204	32	
5.528412e+00	5.275000e+00	3.630720e+00	6.956815e-01	1.452874e-02	205	11	
5.392618e+00	5.200449e+00	2.064588e+00	7.543223e-01	8.008660e-03	206	19	
5.312747e+00	5.102684e+00	1.952720e+00	7.538221e-01	1.308486e-02	207	30	
5.365862e+00	5.030568e+00	1.833247e+00	7.694839e-01	2.921725e-02	208	25	
5.528412e+00	5.275000e+00	2.049310e+00	7.297140e-01	2.259220e-02	209	6	
5.208091e+00	5.078531e+00	1.806215e+00	7.674449e-01	1.065163e-02	210	20	
5.528412e+00	5.275000e+00	2.064588e+00	7.115499e-01	1.707929e-02	211	7	
5.105496e+00	5.078531e+00	1.779581e+00	7.583359e-01	1.460392e-02	212	18	
5.419507e+00	5.225181e+00	1.974598e+00	7.664274e-01	2.901128e-02	213	14	
4.857763e+00	4.959471e+00	1.846914e+00	8.017904e-01	1.808486e-02	214	43	
5.312747e+00	5.078531e+00	2.862647e+00	8.049879e-01	1.036754e-02	215	18	
5.473689e+00	5.225181e+00	2.019092e+00	7.633830e-01	2.078659e-02	216	11	
5.473689e+00	5.225181e+00	1.959986e+00	7.603507e-01	1.983974e-02	217	15	
5.528412e+00	5.275000e+00	2.072270e+00	6.264593e-01	3.171218e-02	218	5	
5.528412e+00	5.275000e+00	2.118964e+00	7.473495e-01	1.410337e-02	219	6	
4.531001e+00	5.078531e+00	2.015346e+00	7.404411e-01	9.930736e-03	220	43	
5.528412e+00	5.275000e+00	2.056935e+00	7.115499e-01	2.209430e-02	221	6	
5.156538e+00	5.030568e+00	1.920357e+00	8.288294e-01	2.466905e-02	222	37	
5.639506e+00	5.376067e+00	1.916795e+00	6.883370e-01	2.515104e-02	223	17	
5.528412e+00	5.275000e+00	1.996721e+00	7.115499e-01	2.284249e-02	224	10	
5.365862e+00	5.078531e+00	2.004150e+00	6.919995e-01	1.942687e-02	225	22	
5.528412e+00	5.275000e+00	2.041713e+00	7.593427e-01	2.576194e-02	226	7	
5.473689e+00	5.225181e+00	2.111109e+00	7.345705e-01	2.117933e-02	227	13	
5.446530e+00	5.225181e+00	2.068425e+00	7.263335e-01	8.752514e-03	228	16	
5.528412e+00	5.275000e+00	2.072270e+00	6.989193e-01	1.909917e-02	229	9	
5.473689e+00	5.250032e+00	2.049310e+00	7.443809e-01	2.355108e-02	230	12	
5.286388e+00	5.006756e+00	1.892041e+00	7.618654e-01	2.548464e-02	231	47	
5.528412e+00	5.275000e+00	1.916795e+00	6.865130e-01	1.525250e-02	232	9	
5.473689e+00	5.225181e+00	1.766412e+00	7.365222e-01	9.321903e-03	233	13	
5.528412e+00	5.275000e+00	2.056935e+00	7.797605e-01	1.376353e-02	234	8	
5.156538e+00	4.446751e+00	1.505697e+00	7.059084e-01	2.260778e-02	235	64	
4.980089e+00	4.889379e+00	1.792848e+00	7.191422e-01	2.508613e-02	236	46	
5.260159e+00	4.983058e+00	1.927502e+00	6.883370e-01	1.886343e-02	237	46	
5.528412e+00	5.275000e+00	2.087719e+00	7.012413e-01	1.742801e-02	238	9	
5.473689e+00	5.225181e+00	1.840068e+00	7.384791e-01	1.764290e-02	239	8	
5.473689e+00	5.225181e+00	2.118964e+00	6.544953e-01	1.702085e-02	240	16	
5.105496e+00	4.889379e+00	1.826451e+00	7.258518e-01	1.951368e-02	241	24	
5.208091e+00	4.983058e+00	1.974598e+00	8.740012e-01	7.336488e-03	242	28	
5.528412e+00	5.275000e+00	2.095487e+00	7.220101e-01	1.638493e-02	243	6	
5.528412e+00	5.275000e+00	2.026604e+00	7.049725e-01	2.704660e-02	244	7	
5.473689e+00	5.225181e+00	2.103284e+00	7.563265e-01	1.588585e-02	245	12	
5.419507e+00	5.225181e+00	2.056935e+00	7.664274e-01	2.045740e-02	246	10	
5.528412e+00	5.275000e+00	2.158679e+00	6.632363e-01	1.210599e-02	247	9	
5.419507e+00	5.126951e+00	2.019092e+00	7.776943e-01	1.471275e-02	248	21	
5.500982e+00	5.250032e+00	1.989319e+00	5.785256e-01	3.240716e-02	249	15	
5.473689e+00	5.225181e+00	2.134762e+00	6.810699e-01	2.468685e-02	250	11	
5.473689e+00	5.250032e+00	2.053119e+00	7.191422e-01	1.926860e-02	251	8	
5.528412e+00	5.275000e+00	1.888531e+00	7.012413e-01	2.163573e-02	252	10	
5.419507e+00	5.200449e+00	2.041713e+00	7.253705e-01	1.924493e-02	253	20	
5.528412e+00	5.275000e+00	2.064588e+00	8.299297e-01	1.578770e-02	254	10	
5.583682e+00	5.325294e+00	1.931085e+00	7.268154e-01	2.264712e-02	255	14	
